code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529745,Hvězdonice,257,189,189,23,"12,16",1,"0,52",0,"0,00",6,"3,17",0,"0,00",13,"6,87",14,"7,40",1,"0,52",4,"2,11",1,"0,52",1,"0,52",0,"0,00",32,"16,93",0,"0,00",0,"0,00",12,"6,34",49,"25,92",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"0,52",0,"0,00",0,"0,00",31,"16,40",0,"0,00"
532886,Chářovice,145,114,112,8,"7,14",1,"0,89",0,"0,00",11,"9,82",0,"0,00",15,"13,39",17,"15,17",0,"0,00",1,"0,89",4,"3,57",0,"0,00",1,"0,89",10,"8,92",0,"0,00",0,"0,00",0,"0,00",37,"33,03",1,"0,89",1,"0,89",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"4,46",0,"0,00"
532878,Chleby,46,33,32,3,"9,37",0,"0,00",0,"0,00",0,"0,00",0,"0,00",9,"28,12",2,"6,25",1,"3,12",1,"3,12",0,"0,00",0,"0,00",0,"0,00",2,"6,25",0,"0,00",0,"0,00",0,"0,00",10,"31,25",0,"0,00",0,"0,00",1,"3,12",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"9,37",0,"0,00"
532045,Chlístov,278,177,176,29,"16,47",0,"0,00",0,"0,00",5,"2,84",0,"0,00",18,"10,22",5,"2,84",5,"2,84",0,"0,00",2,"1,13",0,"0,00",0,"0,00",32,"18,18",0,"0,00",0,"0,00",7,"3,97",62,"35,22",0,"0,00",0,"0,00",3,"1,70",0,"0,00",2,"1,13",0,"0,00",1,"0,56",5,"2,84",0,"0,00"
529770,Chlum,112,87,87,5,"5,74",0,"0,00",0,"0,00",3,"3,44",0,"0,00",5,"5,74",6,"6,89",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",4,"4,59",0,"0,00",0,"0,00",0,"0,00",51,"58,62",0,"0,00",0,"0,00",6,"6,89",0,"0,00",0,"0,00",0,"0,00",1,"1,14",6,"6,89",0,"0,00"
529788,Chmelná,112,95,95,4,"4,21",0,"0,00",0,"0,00",8,"8,42",0,"0,00",4,"4,21",0,"0,00",1,"1,05",1,"1,05",0,"0,00",0,"0,00",0,"0,00",11,"11,57",0,"0,00",0,"0,00",4,"4,21",23,"24,21",0,"0,00",0,"0,00",33,"34,73",0,"0,00",0,"0,00",1,"1,05",0,"0,00",5,"5,26",0,"0,00"
529796,Chocerady,991,664,659,74,"11,22",1,"0,15",1,"0,15",50,"7,58",0,"0,00",42,"6,37",51,"7,73",9,"1,36",4,"0,60",12,"1,82",0,"0,00",2,"0,30",119,"18,05",1,"0,15",0,"0,00",46,"6,98",171,"25,94",0,"0,00",1,"0,15",12,"1,82",0,"0,00",8,"1,21",2,"0,30",0,"0,00",53,"8,04",0,"0,00"
532606,Choratice,58,34,34,5,"14,70",0,"0,00",0,"0,00",2,"5,88",0,"0,00",4,"11,76",1,"2,94",0,"0,00",1,"2,94",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"8,82",10,"29,41",0,"0,00",0,"0,00",6,"17,64",0,"0,00",0,"0,00",0,"0,00",0,"0,00",2,"5,88",0,"0,00"
529818,Chotýšany,434,294,292,27,"9,24",0,"0,00",0,"0,00",29,"9,93",0,"0,00",31,"10,61",16,"5,47",1,"0,34",5,"1,71",6,"2,05",1,"0,34",0,"0,00",35,"11,98",0,"0,00",1,"0,34",5,"1,71",91,"31,16",0,"0,00",0,"0,00",7,"2,39",0,"0,00",1,"0,34",1,"0,34",2,"0,68",33,"11,30",0,"0,00"
532037,Chrášťany,187,123,123,20,"16,26",0,"0,00",0,"0,00",1,"0,81",0,"0,00",9,"7,31",14,"11,38",1,"0,81",1,"0,81",0,"0,00",1,"0,81",0,"0,00",20,"16,26",0,"0,00",0,"0,00",4,"3,25",40,"32,52",0,"0,00",0,"0,00",9,"7,31",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"2,43",0,"0,00"
